"id","budget","original_language","popularity","release_date","revenue","status","vote_average","vote_count"
203,500000,"en",17.002096,1973-10-02,3e+06,"Released",7.2,345
11858,40000000,"en",4.516953,1994-06-03,24332324,"Released",5.9,81
62835,40000000,"en",33.785969,2011-07-27,60965854,"Released",6.5,824
18937,40000000,"en",16.059443,1998-05-15,38172500,"Released",6.9,190
13536,40000000,"en",3.476966,2002-09-06,22433915,"Released",5.7,92
15556,0,"en",5.778724,1999-01-15,0,"Released",5.9,48
10718,40000000,"en",7.360793,2004-01-16,46546197,"Released",4.7,119
11062,0,"en",3.621837,1996-02-16,0,"Released",6,67
10802,45000000,"en",14.513305,1995-09-22,20350754,"Released",4.9,256
1887,40000000,"en",22.364549,2006-05-24,60474340,"Released",6.5,642
6071,40000000,"en",6.90894,1995-04-21,0,"Released",5.7,81
10461,63600000,"en",4.494788,2000-10-06,19412993,"Released",4.8,145
80278,42000000,"en",47.559928,2012-09-09,180274123,"Released",7,2025
12704,55000000,"en",2.410546,1987-05-15,14375181,"Released",4.2,28
10315,40000000,"en",41.258956,2009-10-23,46471023,"Released",7.5,1176
16643,40000000,"en",8.980846,2002-04-26,16872671,"Released",5.7,124
2687,40000000,"en",7.222985,1992-02-28,14358033,"Released",5.7,125
194,10000000,"fr",73.720244,2001-04-25,173921954,"Released",7.8,3310
11025,0,"en",10.0403,2004-05-01,0,"Released",5.5,185
8849,60000000,"en",15.219263,2004-10-22,13395939,"Released",5.6,248
78698,40000000,"en",8.303696,2012-02-02,24719215,"Released",6.6,152
30943,38000000,"en",4.746085,1999-03-12,28121100,"Released",5.9,54
9544,40000000,"en",6.756886,2002-08-09,18902015,"Released",3.2,105
24418,40000000,"en",16.424807,2009-10-23,28169671,"Released",5.5,348
7288,40000000,"en",15.590001,2003-09-26,19322135,"Released",5.9,482
14655,0,"en",5.483671,2008-11-07,0,"Released",6.3,47
24575,0,"en",1.630541,1980-01-01,0,"Released",5.2,21
10366,45000000,"en",14.566664,1999-08-05,10667893,"Released",4.2,135
19898,33000000,"en",28.353517,2009-09-08,20645327,"Released",6.5,774
4965,40000000,"en",9.579975,2001-12-03,0,"Released",6.1,135
15074,40000000,"en",2.911819,2002-11-27,10959475,"Released",5,28
56715,0,"en",10.844882,2001-04-06,0,"Released",4.8,171
1272,50000000,"en",51.502884,2007-04-05,32017803,"Released",7,1182
72358,40000000,"en",13.119133,2012-03-07,22044277,"Released",6,373
